[2026-08-28 10:10:35] ,-1,0,0,18
[2026-08-28 10:10:35] ms,energy,r1600,r2000,r2400,r280ms,energy,r1600,r2000,r2400,r2800,best,tone,armed,move,dropped
[2026-08-28 10:10:37] 58,9508,0.000,0.000,0.000,0.000,0,-1,0,0,0
[2026-08-28 10:10:37] 94,5830,0.000,0.000,0.000,0.000,0,-1,0,0,0
[2026-08-28 10:10:37] 129,8039,0.000,0.000,0.000,0.000,2,-1,0,0,0
[2026-08-28 10:10:37] 164,6433,0.000,0.000,0.000,0.000,0,-1,0,0,1
[2026-08-28 10:10:37] 200,10065,0.000,0.000,0.000,0.000,0,-1,0,0,1
[2026-08-28 10:10:37] 235,7086,0.000,0.000,0.000,0.000,0,-1,0,0,2
[2026-08-28 10:10:37] 271,10180,0.000,0.000,0.000,0.000,2,-1,0,0,2
[2026-08-28 10:10:37] 307,10227,0.000,0.000,0.000,0.000,0,-1,0,0,2
[2026-08-28 10:10:37] 343,9317,0.000,0.000,0.000,0.000,1,-1,0,0,3
[2026-08-28 10:10:37] 378,14646,0.000,0.000,0.000,0.000,0,-1,0,0,3
[2026-08-28 10:10:37] 414,10914,0.000,0.000,0.000,0.000,0,-1,0,0,4
[2026-08-28 10:10:37] 450,1672,0.000,0.000,0.000,0.000,1,-1,0,0,4
[2026-08-28 10:10:37] 479,1,0.005,0.005,0.005,0.005,1,-1,0,0,5
[2026-08-28 10:10:37] 503,0,0.000,0.000,0.000,0.000,-1,-1,0,0,5
[2026-08-28 10:10:37] 530,1,0.005,0.005,0.005,0.005,3,-1,0,0,5
[2026-08-28 10:10:38] 558,1,0.005,0.005,0.005,0.005,3,-1,0,0,5
[2026-08-28 10:10:38] 583,2,0.007,0.005,0.003,0.002,0,-1,0,0,5
[2026-08-28 10:10:38] 613,1,0.005,0.005,0.005,0.005,3,-1,0,0,5
[2026-08-28 10:10:38] 637,0,0.000,0.000,0.000,0.000,-1,-1,0,0,5
[2026-08-28 10:10:38] 666,2,0.007,0.010,0.007,0.001,1,-1,0,0,5
[2026-08-28 10:10:38] 698,1,0.005,0.005,0.005,0.005,1,-1,0,0,5
[2026-08-28 10:10:38] 727,1,0.005,0.005,0.005,0.005,1,-1,0,0,6
[2026-08-28 10:10:38] 751,0,0.000,0.000,0.000,0.000,-1,-1,0,0,6
[2026-08-28 10:10:38] 781,3,0.010,0.008,0.002,0.000,0,-1,0,0,6
[2026-08-28 10:10:38] 806,1,0.005,0.005,0.005,0.005,0,-1,0,0,6
[2026-08-28 10:10:38] 836,1,0.005,0.005,0.005,0.005,1,-1,0,0,6
[2026-08-28 10:10:38] 862,0,0.000,0.000,0.000,0.000,-1,-1,0,0,6
[2026-08-28 10:10:38] 888,3,0.004,0.008,0.008,0.004,1,-1,0,0,6
[2026-08-28 10:10:38] 918,1,0.005,0.005,0.005,0.005,3,-1,0,0,6
[2026-08-28 10:10:38] 943,0,0.000,0.000,0.000,0.000,-1,-1,0,0,6
[2026-08-28 10:10:38] 970,2,0.007,0.010,0.007,0.001,1,-1,0,0,6
[2026-08-28 10:10:38] 1000,3,0.003,0.002,0.002,0.007,3,-1,0,0,6
[2026-08-28 10:10:38] 1029,1,0.005,0.005,0.005,0.005,1,-1,0,0,7
[2026-08-28 10:10:38] 1053,0,0.000,0.000,0.000,0.000,-1,-1,0,0,7
[2026-08-28 10:10:38] 1084,1,0.005,0.005,0.005,0.005,1,-1,0,0,7
[2026-08-28 10:10:38] 1108,0,0.000,0.000,0.000,0.000,-1,-1,0,0,7
[2026-08-28 10:10:38] 1135,1,0.005,0.005,0.005,0.005,3,-1,0,0,7
[2026-08-28 10:10:38] 1163,1,0.005,0.005,0.005,0.005,3,-1,0,0,7
[2026-08-28 10:10:38] 1187,0,0.000,0.000,0.000,0.000,-1,-1,0,0,7
[2026-08-28 10:10:38] 1212,0,0.000,0.000,0.000,0.000,-1,-1,0,0,7
[2026-08-28 10:10:38] 1244,6,0.001,0.003,0.007,0.001,2,-1,0,0,7
[2026-08-28 10:10:38] 1268,0,0.000,0.000,0.000,0.000,-1,-1,0,0,7
[2026-08-28 10:10:38] 1299,2,0.001,0.005,0.009,0.000,2,-1,0,0,7
[2026-08-28 10:10:38] 1328,1,0.005,0.005,0.005,0.005,3,-1,0,0,8
[2026-08-28 10:10:38] 1356,2,0.007,0.005,0.003,0.002,0,-1,0,0,8
[2026-08-28 10:10:38] 1387,3,0.003,0.002,0.014,0.002,2,-1,0,0,8
[2026-08-28 10:10:38] 1412,0,0.000,0.000,0.000,0.000,-1,-1,0,0,8
[2026-08-28 10:10:38] 1436,0,0.000,0.000,0.000,0.000,-1,-1,0,0,8
[2026-08-28 10:10:38] 1465,4,0.013,0.003,0.005,0.003,0,-1,0,0,8
[2026-08-28 10:10:38] 1496,3,0.003,0.008,0.002,0.003,1,-1,0,0,8
[2026-08-28 10:10:38] 1520,0,0.000,0.000,0.000,0.000,-1,-1,0,0,8
[2026-08-28 10:10:39] 1552,4,0.009,0.003,0.000,0.001,0,-1,0,0,8
[2026-08-28 10:10:39] 1576,0,0.000,0.000,0.000,0.000,-1,-1,0,0,9
[2026-08-28 10:10:39] 1601,0,0.000,0.000,0.000,0.000,-1,-1,0,0,9
[2026-08-28 10:10:39] 1628,1,0.005,0.005,0.005,0.005,3,-1,0,0,9
[2026-08-28 10:10:39] 1656,4,0.001,0.003,0.002,0.002,1,-1,0,0,9
[2026-08-28 10:10:39] 1687,2,0.001,0.000,0.001,0.003,3,-1,0,0,9
[2026-08-28 10:10:39] 1717,8,0.003,0.005,0.001,0.005,3,-1,0,0,9
[2026-08-28 10:10:39] 1747,1,0.005,0.005,0.005,0.005,1,-1,0,0,9
[2026-08-28 10:10:39] 1776,2,0.007,0.005,0.003,0.002,0,-1,0,0,10
[2026-08-28 10:10:39] 1801,0,0.000,0.000,0.000,0.000,-1,-1,0,0,10
[2026-08-28 10:10:39] 1827,1,0.005,0.005,0.005,0.005,3,-1,0,0,10
[2026-08-28 10:10:39] 1852,0,0.000,0.000,0.000,0.000,-1,-1,0,0,10
[2026-08-28 10:10:39] 1883,3,0.001,0.008,0.004,0.011,3,-1,0,0,10
[2026-08-28 10:10:39] 1911,1,0.005,0.005,0.005,0.005,3,-1,0,0,10
[2026-08-28 10:10:39] 1943,4,0.000,0.002,0.003,0.001,2,-1,0,0,10
[2026-08-28 10:10:39] 1968,0,0.000,0.000,0.000,0.000,-1,-1,0,0,10
[2026-08-28 10:10:39] 1994,1,0.005,0.005,0.005,0.005,3,-1,0,0,10
[2026-08-28 10:10:39] 2019,0,0.000,0.000,0.000,0.000,-1,-1,0,0,10
[2026-08-28 10:10:39] 2050,2,0.001,0.005,0.009,0.010,3,-1,0,0,10
[2026-08-28 10:10:39] 2074,0,0.000,0.000,0.000,0.000,-1,-1,0,0,11
[2026-08-28 10:10:39] 2103,1,0.005,0.005,0.005,0.005,3,-1,0,0,11
[2026-08-28 10:10:39] 2134,2,0.007,0.010,0.007,0.001,1,-1,0,0,11
[2026-08-28 10:10:39] 2162,1,0.005,0.005,0.005,0.005,3,-1,0,0,11
[2026-08-28 10:10:39] 2189,1,0.005,0.005,0.005,0.005,3,-1,0,0,11
[2026-08-28 10:10:39] 2213,0,0.000,0.000,0.000,0.000,-1,-1,0,0,11
[2026-08-28 10:10:39] 2240,1,0.005,0.005,0.005,0.005,3,-1,0,0,11
[2026-08-28 10:10:39] 2265,0,0.000,0.000,0.000,0.000,-1,-1,0,0,11
[2026-08-28 10:10:39] 2295,2,0.010,0.005,0.000,0.005,0,-1,0,0,11
[2026-08-28 10:10:39] 2321,0,0.000,0.000,0.000,0.000,-1,-1,0,0,11
[2026-08-28 10:10:39] 2352,6,0.001,0.017,0.001,0.005,1,-1,0,0,11
[2026-08-28 10:10:39] 2376,1,0.005,0.005,0.005,0.005,1,-1,0,0,12
[2026-08-28 10:10:39] 2405,2,0.010,0.000,0.010,0.000,0,-1,0,0,12
[2026-08-28 10:10:39] 2436,3,0.001,0.008,0.004,0.001,1,-1,0,0,12
[2026-08-28 10:10:39] 2465,2,0.007,0.005,0.003,0.002,0,-1,0,0,12
